Board;Jugador;Subasta_Real;Grilla;Force;Min_HCP;Max_HCP;Min_S;Max_S;Min_H;Max_H;Min_D;Max_D;Min_C;Max_C;Subasta_Predicha;Es_Correcta;Confianza;Subasta_Previa
1;N;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9988;
1;E;1Tre;110;No;11;21;0;4;0;4;0;4;2;13;1Tre;SI;0.9939;Pass
1;S;1NT;190;No;15;18;2;5;2;5;2;5;2;5;3NT;NO;0.9109;Pass - 1Tre
1;W;Pass;0;No;0;7;0;6;0;6;0;6;0;5;X;NO;0.5704;Pass - 1Tre - 1NT
1;N;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.993;Pass - 1Tre - 1NT - Pass
1;E;Pass;0;No;11;21;0;4;0;4;0;4;2;13;1Dia;NO;0.9529;Pass - 1Tre - 1NT - Pass - Pass
2;E;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9992;
2;S;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9976;Pass
2;W;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9949;Pass - Pass
2;N;1Tre;110;No;10;21;0;6;0;6;0;6;2;9;1Dia;NO;0.9501;Pass - Pass - Pass
2;E;Pass;0;No;0;11;0;6;0;6;0;6;0;6;Pass;SI;0.9986;Pass - Pass - Pass - 1Tre
2;S;1NT;190;No;6;11;2;3;2;3;2;4;2;6;1NT;SI;0.5988;Pass - Pass - Pass - 1Tre - Pass
2;W;X;191;Si;10;11;3;4;3;4;3;5;0;3;X;SI;0.9939;Pass - Pass - Pass - 1Tre - Pass - 1NT
2;N;Pass;0;No;10;21;0;6;0;6;0;6;2;9;Pass;SI;0.9008;Pass - Pass - Pass - 1Tre - Pass - 1NT - X
2;E;2Cor;250;No;0;11;0;4;3;6;0;6;0;6;2Tre;NO;0.9994;Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass
2;S;3Tre;310;No;6;11;2;3;2;3;2;4;4;6;Pass;NO;0.7583;Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass - 2Cor
2;W;Pass;0;Si;10;11;3;4;3;4;3;5;0;3;X;NO;0.3939;Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass - 2Cor - 3Tre
2;N;Pass;0;No;10;21;0;6;0;6;0;6;2;9;Pass;SI;0.6251;Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass - 2Cor - 3Tre - Pass
