Tablilla,Tablero,Declarante,Jugador,Ss,Hs,Ds,Cs,NT_Bazas,Ss_Bazas,Hs_Bazas,Ds_Bazas,Cs_Bazas
3,1,E,N,A84,75,QT2,AJT83,6,4,3,9,9
3,1,E,E,J7,KJT94,A98,Q92,6,8,10,3,3
3,1,E,S,K32,2,J7653,K765,6,4,3,9,9
3,1,E,W,QT965,AQ863,K4,4,6,8,10,3,3
3,2,E,N,42,75,KT743,KJT8,6,8,6,7,6
3,2,E,E,J7,KJT94,A98,Q92,7,5,6,5,6
3,2,E,S,AKT953,A863,Q,73,6,8,6,7,6
3,2,E,W,Q86,Q2,J652,A654,7,5,6,5,6
3,3,E,N,T4,52,KQT643,AK5,11,7,7,11,7
3,3,E,E,J7,KJT94,A98,Q92,2,5,5,2,5
3,3,E,S,AK62,AQ6,752,T73,11,7,7,11,7
3,3,E,W,Q9853,873,J,J864,2,5,5,2,5
3,4,E,N,643,Q82,KJT,J654,5,7,5,7,4
3,4,E,E,J7,KJT94,A98,Q92,6,6,7,6,9
3,4,E,S,AK98,A53,76532,8,3,6,5,7,3
3,4,E,W,QT52,76,Q4,AKT73,6,6,7,6,9
3,5,E,N,T84,Q6,J542,A763,4,8,4,5,8
3,5,E,E,J7,KJT94,A98,Q92,6,5,9,8,5
3,5,E,S,AQ965,A8,73,KT84,4,8,4,4,8
3,5,E,W,K32,7532,KQT6,J5,6,5,9,8,5
3,6,E,N,AQ94,6,KQT7653,8,3,6,3,10,3
3,6,E,E,J7,KJT94,A98,Q92,6,5,9,3,10
3,6,E,S,T85,732,J42,AJ74,3,6,3,10,3
3,6,E,W,K632,AQ85,,KT653,6,5,10,3,10
3,7,E,N,QT84,6,QJT5432,T,7,9,4,9,5
3,7,E,E,J7,KJT94,A98,Q92,6,4,8,3,8
3,7,E,S,9653,AQ5,K7,AK63,7,9,4,9,5
3,7,E,W,AK2,8732,6,J8754,6,4,8,3,7
3,8,E,N,42,Q73,KT763,AJ5,6,4,6,6,7
3,8,E,E,J7,KJT94,A98,Q92,6,9,7,6,6
3,8,E,S,AKT,852,42,KT863,6,4,6,6,7
3,8,E,W,Q98653,A6,QJ5,74,6,9,7,6,5
3,9,E,N,Q9642,8753,T2,K8,6,9,6,6,6
3,9,E,E,J7,KJT94,A98,Q92,7,4,7,6,7
3,9,E,S,T853,A6,KQ43,AJT,6,9,6,6,6
3,9,E,W,AK,Q2,J765,76543,7,4,7,5,7
3,10,E,N,AQT6,87,J76,AJ83,6,6,3,3,9
3,10,E,E,J7,KJT94,A98,Q92,3,3,10,10,3
3,10,E,S,K43,Q2,Q4,KT7654,6,7,3,3,9
3,10,E,W,9852,A653,KT532,,3,3,10,10,3
3,11,E,N,AK86,7,T754,KT75,7,9,5,9,10
3,11,E,E,J7,KJT94,A98,Q92,6,4,8,4,3
3,11,E,S,QT3,A3,KQ6,J8643,7,9,5,9,10
3,11,E,W,9542,Q8652,J32,A,5,4,8,4,3
3,12,E,N,Q3,862,752,AKJ74,5,6,5,7,8
3,12,E,E,J7,KJT94,A98,Q92,7,7,8,6,5
3,12,E,S,KT98,73,KQ43,T85,5,6,4,7,8
3,12,E,W,A6542,AQ5,JT6,63,7,6,8,5,5
3,13,E,N,T842,Q632,JT63,T,6,8,6,7,5
3,13,E,E,J7,KJT94,A98,Q92,7,5,7,6,8
3,13,E,S,AK53,A5,K72,KJ63,5,8,6,7,5
3,13,E,W,Q96,87,Q54,A8754,7,5,7,6,8
3,14,E,N,T84,AQ83,76,KJ64,8,8,6,7,7
3,14,E,E,J7,KJT94,A98,Q92,6,5,7,6,6
3,14,E,S,Q953,75,KQJ5,A87,7,7,6,6,7
3,14,E,W,AK62,62,T432,T53,5,5,7,6,5
3,15,E,N,A832,AQ83,KJ,J86,6,6,6,9,9
3,15,E,E,J7,KJT94,A98,Q92,5,7,7,4,4
3,15,E,S,Q6,2,QT6432,KT53,6,6,5,9,8
3,15,E,W,KT954,765,75,A74,5,7,7,4,4
3,16,E,N,Q95,Q765,K42,K74,5,4,5,6,6
3,16,E,E,J7,KJT94,A98,Q92,7,8,8,6,7
3,16,E,S,K6,A82,JT75,JT65,5,5,5,6,6
3,16,E,W,AT8432,3,Q63,A83,7,8,8,7,7
3,17,E,N,K8,Q8765,KT,AK76,6,6,6,7,7
3,17,E,E,J7,KJT94,A98,Q92,7,7,6,5,5
3,17,E,S,AT52,3,J5432,843,6,6,6,7,7
3,17,E,W,Q9643,A2,Q76,JT5,7,7,7,5,5
3,18,E,N,AT2,A872,QJ743,7,5,9,3,10,3
3,18,E,E,J7,KJT94,A98,Q92,7,3,9,3,10
3,18,E,S,KQ863,63,K652,53,5,9,3,10,3
3,18,E,W,954,Q5,T,AKJT864,7,3,9,3,10
3,19,E,N,QT8542,Q52,Q52,A,2,7,2,5,4
3,19,E,E,J7,KJT94,A98,Q92,10,6,10,7,9
3,19,E,S,63,63,KJ74,T6543,2,7,2,5,4
3,19,E,W,AK9,A87,T63,KJ87,10,6,10,8,9
3,20,E,N,AK94,Q5,QJ73,854,1,6,1,5,1
3,20,E,E,J7,KJT94,A98,Q92,9,7,11,8,11
3,20,E,S,QT62,8732,T52,J7,1,6,1,5,1
3,20,E,W,853,A6,K64,AKT63,9,7,11,8,11
3,21,E,N,A98,A,652,AJ8754,9,6,5,11,11
3,21,E,E,J7,KJT94,A98,Q92,3,6,8,2,2
3,21,E,S,K42,76,KJT73,KT3,9,6,5,11,11
3,21,E,W,QT653,Q8532,Q4,6,3,6,8,2,2
3,22,E,N,9863,AQ62,T,7643,1,5,1,5,1
3,22,E,E,J7,KJT94,A98,Q92,9,7,11,7,10
3,22,E,S,KQT2,5,765432,KT,1,5,1,6,2
3,22,E,W,A54,873,KQJ,AJ85,9,7,11,7,10
3,23,E,N,K62,63,KJ52,K854,4,8,3,4,7
3,23,E,E,J7,KJT94,A98,Q92,7,5,9,8,6
3,23,E,S,QT9853,Q8,64,AT7,4,8,3,4,7
3,23,E,W,A4,A752,QT73,J63,7,5,9,8,6
3,24,E,N,Q92,A632,K764,65,5,7,6,5,3
3,24,E,E,J7,KJT94,A98,Q92,7,6,7,8,9
3,24,E,S,A8653,Q85,T3,AJ7,5,7,5,5,3
3,24,E,W,KT4,7,QJ52,KT843,7,6,7,8,9
3,25,E,N,KT95,A,J53,86543,5,8,4,5,8
3,25,E,E,J7,KJT94,A98,Q92,7,5,9,8,5
3,25,E,S,Q842,762,K72,AJ7,5,8,4,5,8
3,25,E,W,A63,Q853,QT64,KT,7,5,9,8,5
