Tablilla,Tablero,Declarante,Jugador,Ss,Hs,Ds,Cs,NT_Bazas,Ss_Bazas,Hs_Bazas,Ds_Bazas,Cs_Bazas,ConteoS,ConteoH,ConteoD,ConteoC,HCP_Total
3,1,E,N,A84,75,QT2,AJT83,6,4,3,9,9,3,2,3,5,11
3,1,E,E,J7,KJT94,A98,Q92,6,8,10,3,3,2,5,3,3,11
3,1,E,S,K32,2,J7653,K765,6,4,3,9,9,3,1,5,4,7
3,1,E,W,QT965,AQ863,K4,4,6,8,10,3,3,5,5,2,1,11
3,2,E,N,42,75,KT743,KJT8,6,8,6,7,6,2,2,5,4,7
3,2,E,E,J7,KJT94,A98,Q92,7,5,6,5,6,2,5,3,3,11
3,2,E,S,AKT953,A863,Q,73,6,8,6,7,6,6,4,1,2,13
3,2,E,W,Q86,Q2,J652,A654,7,5,6,5,6,3,2,4,4,9
3,3,E,N,T4,52,KQT643,AK5,11,7,7,11,7,2,2,6,3,12
3,3,E,E,J7,KJT94,A98,Q92,2,5,5,2,5,2,5,3,3,11
3,3,E,S,AK62,AQ6,752,T73,11,7,7,11,7,4,3,3,3,13
3,3,E,W,Q9853,873,J,J864,2,5,5,2,5,5,3,1,4,4
3,4,E,N,643,Q82,KJT,J654,5,7,5,7,4,3,3,3,4,7
3,4,E,E,J7,KJT94,A98,Q92,6,6,7,6,9,2,5,3,3,11
3,4,E,S,AK98,A53,76532,8,3,6,5,7,3,4,3,5,1,11
3,4,E,W,QT52,76,Q4,AKT73,6,6,7,6,9,4,2,2,5,11
3,5,E,N,T84,Q6,J542,A763,4,8,4,5,8,3,2,4,4,7
3,5,E,E,J7,KJT94,A98,Q92,6,5,9,8,5,2,5,3,3,11
3,5,E,S,AQ965,A8,73,KT84,4,8,4,4,8,5,2,2,4,13
3,5,E,W,K32,7532,KQT6,J5,6,5,9,8,5,3,4,4,2,9
3,6,E,N,AQ94,6,KQT7653,8,3,6,3,10,3,4,1,7,1,11
3,6,E,E,J7,KJT94,A98,Q92,6,5,9,3,10,2,5,3,3,11
3,6,E,S,T85,732,J42,AJ74,3,6,3,10,3,3,3,3,4,6
3,6,E,W,K632,AQ85,,KT653,6,5,10,3,10,4,4,0,5,12
3,7,E,N,QT84,6,QJT5432,T,7,9,4,9,5,4,1,7,1,5
3,7,E,E,J7,KJT94,A98,Q92,6,4,8,3,8,2,5,3,3,11
3,7,E,S,9653,AQ5,K7,AK63,7,9,4,9,5,4,3,2,4,16
3,7,E,W,AK2,8732,6,J8754,6,4,8,3,7,3,4,1,5,8
3,8,E,N,42,Q73,KT763,AJ5,6,4,6,6,7,2,3,5,3,10
3,8,E,E,J7,KJT94,A98,Q92,6,9,7,6,6,2,5,3,3,11
3,8,E,S,AKT,852,42,KT863,6,4,6,6,7,3,3,2,5,10
3,8,E,W,Q98653,A6,QJ5,74,6,9,7,6,5,6,2,3,2,9
3,9,E,N,Q9642,8753,T2,K8,6,9,6,6,6,5,4,2,2,5
3,9,E,E,J7,KJT94,A98,Q92,7,4,7,6,7,2,5,3,3,11
3,9,E,S,T853,A6,KQ43,AJT,6,9,6,6,6,4,2,4,3,14
3,9,E,W,AK,Q2,J765,76543,7,4,7,5,7,2,2,4,5,10
3,10,E,N,AQT6,87,J76,AJ83,6,6,3,3,9,4,2,3,4,12
3,10,E,E,J7,KJT94,A98,Q92,3,3,10,10,3,2,5,3,3,11
3,10,E,S,K43,Q2,Q4,KT7654,6,7,3,3,9,3,2,2,6,10
3,10,E,W,9852,A653,KT532,,3,3,10,10,3,4,4,5,0,7
3,11,E,N,AK86,7,T754,KT75,7,9,5,9,10,4,1,4,4,10
3,11,E,E,J7,KJT94,A98,Q92,6,4,8,4,3,2,5,3,3,11
3,11,E,S,QT3,A3,KQ6,J8643,7,9,5,9,10,3,2,3,5,12
3,11,E,W,9542,Q8652,J32,A,5,4,8,4,3,4,5,3,1,7
3,12,E,N,Q3,862,752,AKJ74,5,6,5,7,8,2,3,3,5,10
