Tablilla,Tablero,Declarante,Jugador,Ss,Hs,Ds,Cs,NT_Bazas,Ss_Bazas,Hs_Bazas,Ds_Bazas,Cs_Bazas,ConteoS,ConteoH,ConteoD,ConteoC,HCP_Total
3,1,N,N,AT8654,8,Q63,J75,7,9,4,8,4,6,1,3,3,7
3,1,N,E,Q2,KQ972,T9,Q932,6,4,9,4,8,2,5,2,4,9
3,1,N,S,J73,AJ5,AJ542,84,7,9,4,8,4,3,3,5,2,11
3,1,N,W,K9,T643,K87,AKT6,6,4,9,4,8,2,4,3,4,13
3,2,N,N,AT8654,8,Q63,J75,7,8,7,8,6,6,1,3,3,7
3,2,N,E,Q972,J92,94,8632,6,5,6,5,7,4,3,2,4,3
3,2,N,S,K,KT764,KJ85,KQ4,7,8,7,8,6,1,5,4,3,15
3,2,N,W,J3,AQ53,AT72,AT9,6,5,5,5,6,2,4,4,3,15
3,3,N,N,AT8654,8,Q63,J75,6,7,8,6,8,6,1,3,3,7
3,3,N,E,973,AKT9,T42,632,6,6,5,6,5,3,4,3,3,7
3,3,N,S,,QJ7643,AJ9,AQ84,6,7,8,7,8,0,6,3,4,14
3,3,N,W,KQJ2,52,K875,KT9,6,6,5,6,4,4,2,4,3,12
3,4,N,N,AT8654,8,Q63,J75,6,7,4,4,7,6,1,3,3,7
3,4,N,E,KQJ9,A953,52,AT2,7,6,9,9,5,4,4,2,3,14
3,4,N,S,73,QJ42,A8,KQ943,6,7,4,4,7,2,4,2,5,12
3,4,N,W,2,KT76,KJT974,86,7,6,9,9,5,1,4,6,2,7
3,5,N,N,AT8654,8,Q63,J75,5,11,4,9,9,6,1,3,3,7
3,5,N,E,J,QT97653,AJT,96,5,2,8,4,3,1,7,3,2,8
3,5,N,S,K7,J42,K974,AKQT,5,10,4,9,9,2,3,4,4,16
3,5,N,W,Q932,AK,852,8432,5,2,8,4,3,4,2,3,4,9
3,6,N,N,AT8654,8,Q63,J75,4,6,2,6,3,6,1,3,3,7
3,6,N,E,973,KJ962,A7,KQ2,8,6,11,7,10,3,5,2,3,13
3,6,N,S,Q2,QT5,KJT82,T96,4,6,2,6,3,2,3,5,3,8
