Tablilla,Tablero,Declarante,Jugador,Ss,Hs,Ds,Cs,NT_Bazas,Ss_Bazas,Hs_Bazas,Ds_Bazas,Cs_Bazas,ConteoS,ConteoH,ConteoD,ConteoC,HCP_Total
2,1,S,N,AJT42,A5,AQ8,JT3,8,8,8,9,9,5,2,3,3,16
2,1,S,E,KQ86,J4,J62,AQ92,5,5,5,3,3,4,2,3,4,13
2,1,S,S,3,Q732,KT54,K864,8,7,8,9,9,1,4,4,4,8
2,1,S,W,975,KT986,973,75,5,5,5,3,3,3,5,3,2,3
2,2,S,N,J642,AJ5,9632,JT,4,3,5,5,4,4,3,4,2,7
2,2,S,E,AK95,K986,Q,AQ53,9,10,8,7,9,4,4,1,4,18
2,2,S,S,3,Q732,KT54,K864,4,3,4,6,4,1,4,4,4,8
2,2,S,W,QT87,T4,AJ87,972,9,10,7,7,9,4,2,4,3,7
2,3,S,N,QT4,AJ54,Q963,95,3,2,7,7,3,3,4,4,2,9
2,3,S,E,AK76,KT6,82,QT32,9,11,6,5,9,4,3,2,4,12
2,3,S,S,3,Q732,KT54,K864,3,2,7,7,3,1,4,4,4,8
2,3,S,W,J9852,98,AJ7,AJ7,10,11,6,5,9,5,2,3,3,11
2,4,S,N,8742,AT84,J9,A97,5,4,7,5,6,4,4,2,3,9
2,4,S,E,AKQJ9,KJ95,A82,2,8,9,6,8,7,5,4,3,1,18
2,4,S,S,3,Q732,KT54,K864,5,3,7,5,6,1,4,4,4,8
2,4,S,W,T65,6,Q763,QJT53,8,9,6,8,6,3,1,4,5,5
2,5,S,N,T8,AT6,AJ83,Q532,6,4,8,9,9,2,3,4,4,11
2,5,S,E,AJ975,KJ8,762,T7,7,8,5,4,4,5,3,3,2,9
2,5,S,S,3,Q732,KT54,K864,6,4,8,9,9,1,4,4,4,8
2,5,S,W,KQ642,954,Q9,AJ9,7,8,5,4,4,5,3,2,3,12
2,6,S,N,AQJ94,AJ6,Q972,2,8,7,7,9,5,5,3,4,1,14
2,6,S,E,T52,9,AJ83,QJ975,4,4,5,4,6,3,1,4,5,8
2,6,S,S,3,Q732,KT54,K864,8,7,7,9,5,1,4,4,4,8
2,6,S,W,K876,KT854,6,AT3,4,4,6,4,7,4,5,1,3,10
2,7,S,N,4,AJ6,AQJ873,T52,6,2,7,9,7,1,3,6,3,12
2,7,S,E,T9875,KT5,962,A3,6,10,4,3,6,5,3,3,2,7
2,7,S,S,3,Q732,KT54,K864,6,2,7,9,7,1,4,4,4,8
2,7,S,W,AKQJ62,984,,QJ97,6,10,4,3,5,6,3,0,4,13
2,8,S,N,QT642,AJT94,92,J,3,3,8,4,3,5,5,2,1,8
2,8,S,E,AKJ8,85,863,T953,8,8,5,8,9,4,2,3,4,8
2,8,S,S,3,Q732,KT54,K864,3,4,8,4,3,1,4,4,4,8
2,8,S,W,975,K6,AQJ7,AQ72,10,9,5,8,9,3,2,4,4,16
2,9,S,N,J9764,A985,876,J,4,5,6,5,3,5,4,3,1,6
2,9,S,E,T52,KJ6,AQ93,AT5,9,8,7,7,9,3,3,4,3,14
2,9,S,S,3,Q732,KT54,K864,4,5,6,5,3,1,4,4,4,8
2,9,S,W,AKQ8,T4,J2,Q9732,9,8,6,7,9,4,2,2,5,12
2,10,S,N,AQJT72,8,J72,J53,2,6,2,5,5,6,1,3,3,9
2,10,S,E,K8,AT4,Q63,AQT97,10,7,10,7,8,2,3,3,5,15
2,10,S,S,3,Q732,KT54,K864,2,6,2,5,3,1,4,4,4,8
2,10,S,W,9654,KJ965,A98,2,10,7,10,7,8,4,5,3,1,8
