Board,Jugador,Subasta_Real,Subasta_Predicha,Grilla_Predicha,Min_HCP,Max_HCP,Min_S,Max_S,Min_H,Max_H,Min_D,Max_D,Min_C,Max_C,Grilla,Force,Es_Correcta,Confianza,Subasta_Previa
1,N,Pass,Pass,0,6.12,6.12,0.0,5.24,0.0,5.47,0.0,5.62,0.0,5.48,0,No,SI,0.9410,
1,E,1Tre,1Tre,110,16.1,16.1,0.0,4.08,0.0,4.01,0.0,4.11,2.23,7.27,110,No,SI,0.9980,Pass
1,S,1NT,1NT,190,13.13,13.13,1.69,3.4,0.81,2.93,1.65,3.47,1.75,4.03,190,No,SI,0.7808,Pass - 1Tre
1,W,Pass,1NT,190,1.81,1.81,0.63,1.43,0.0,1.13,0.11,1.15,0.09,1.32,0,No,NO,1.0000,Pass - 1Tre - 1NT
1,N,Pass,2Pic,270,5.45,5.45,0.0,4.44,0.0,4.51,0.0,4.86,0.0,4.65,0,No,NO,0.6130,Pass - 1Tre - 1NT - Pass
1,E,Pass,3Dia,330,16.6,16.6,2.15,5.1,0.68,4.02,0.93,4.84,1.53,5.88,0,No,NO,0.9766,Pass - 1Tre - 1NT - Pass - Pass
2,E,Pass,Pass,0,6.08,6.08,0.0,5.27,0.0,5.7,0.0,5.57,0.0,5.51,0,No,SI,0.9481,
2,S,Pass,Pass,0,5.45,5.45,0.0,5.19,0.0,5.59,0.0,5.54,0.0,5.47,0,No,SI,0.9552,Pass
2,W,Pass,Pass,0,5.9,5.9,0.0,5.07,0.0,5.51,0.0,5.42,0.0,5.45,0,No,SI,0.7299,Pass - Pass
2,N,1Tre,1Tre,110,14.74,14.74,2.24,5.08,1.1,4.3,0.77,4.8,1.16,5.36,110,No,SI,0.9969,Pass - Pass - Pass
2,E,Pass,Pass,0,6.09,6.09,0.0,5.47,0.0,5.49,0.0,5.58,0.0,5.66,0,No,SI,0.9248,Pass - Pass - Pass - 1Tre
2,S,1NT,1NT,190,9.51,9.51,0.63,3.79,2.34,5.37,0.13,4.61,0.61,4.68,190,No,SI,0.9976,Pass - Pass - Pass - 1Tre - Pass
2,W,X,1NT,190,20.42,20.42,1.95,3.97,1.2,2.72,1.17,3.68,1.85,4.62,191,Si,NO,0.7460,Pass - Pass - Pass - 1Tre - Pass - 1NT
2,N,Pass,2Pic,270,13.0,13.0,2.11,4.74,0.66,3.86,0.0,3.97,1.32,5.46,0,No,NO,0.9999,Pass - Pass - Pass - 1Tre - Pass - 1NT - X
2,E,2Cor,3Dia,330,4.84,4.84,0.0,3.5,2.91,5.98,0.0,4.49,0.47,4.41,250,No,NO,0.8165,Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass
2,S,3Tre,Pass,0,7.75,7.75,0.0,4.66,0.0,4.9,0.0,4.93,0.45,5.3,310,No,NO,0.9999,Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass - 2Cor
2,W,Pass,4Pic,470,18.16,18.16,1.65,3.99,0.83,2.87,0.67,3.64,1.27,4.13,0,Si,NO,0.9967,Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass - 2Cor - 3Tre
2,N,Pass,6Pic,670,15.51,15.51,2.18,5.1,1.34,4.51,1.0,5.04,1.27,5.46,0,No,NO,0.9152,Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass - 2Cor - 3Tre - Pass
2,E,Pass,Pass,0,5.06,5.06,0.0,3.41,2.62,5.52,0.0,4.46,0.58,4.41,0,No,SI,1.0000,Pass - Pass - Pass - 1Tre - Pass - 1NT - X - Pass - 2Cor - 3Tre - Pass - Pass
3,S,Pass,Pass,0,6.07,6.07,0.0,5.1,0.0,5.43,0.0,5.46,0.0,5.38,0,No,SI,0.9309,
3,W,1Dia,1Dia,130,15.45,15.45,0.0,3.97,0.0,3.87,4.11,8.78,0.0,5.1,130,No,SI,0.9999,Pass
3,N,Pass,Pass,0,6.74,6.74,0.0,5.91,0.0,6.02,0.0,5.76,0.0,5.76,0,No,SI,0.9220,Pass - 1Dia
3,E,1Pic,2Tre,210,19.47,19.47,0.75,5.81,0.42,5.43,1.4,6.16,0.67,6.51,170,Si,NO,0.9837,Pass - 1Dia - Pass
3,S,X,Pass,0,7.42,7.42,0.01,3.8,0.0,3.86,1.09,4.88,0.98,4.96,171,Si,NO,0.3148,Pass - 1Dia - Pass - 1Pic
3,W,2Dia,Pass,0,10.3,10.3,1.48,4.31,2.01,4.79,0.0,4.15,0.42,4.72,230,No,NO,0.4468,Pass - 1Dia - Pass - 1Pic - X
3,N,Pass,Pass,0,6.05,6.05,1.16,5.04,0.0,4.2,0.0,4.94,0.0,4.86,0,No,SI,0.5973,Pass - 1Dia - Pass - 1Pic - X - 2Dia
3,E,2Cor,2Cor,250,18.07,18.07,2.44,5.17,1.05,3.92,1.39,4.67,0.93,4.8,250,Si,SI,0.8879,Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass
3,S,Pass,Pass,0,7.24,7.24,0.0,4.77,0.0,4.73,0.15,5.39,0.45,5.54,0,Si,SI,0.8760,Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass - 2Cor
3,W,3NT,4Tre,410,12.22,12.22,0.0,2.88,0.0,3.0,2.2,4.51,0.5,4.0,390,No,NO,0.6530,Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass - 2Cor - Pass
3,N,Pass,Pass,0,5.84,5.84,0.39,5.58,0.0,5.01,0.0,5.55,0.0,5.45,0,No,SI,0.9343,Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass - 2Cor - Pass - 3NT
3,E,Pass,4Cor,450,19.79,19.79,2.31,5.16,1.08,4.19,1.1,4.48,0.84,5.11,0,Si,NO,0.7749,Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass - 2Cor - Pass - 3NT - Pass
3,S,Pass,Pass,0,6.86,6.86,0.0,4.2,0.0,4.5,0.42,5.2,0.54,5.11,0,Si,SI,0.9138,Pass - 1Dia - Pass - 1Pic - X - 2Dia - Pass - 2Cor - Pass - 3NT - Pass - Pass
4,W,1Dia,1Dia,130,15.47,15.47,0.0,3.95,0.0,3.85,4.29,8.98,0.0,5.03,130,No,SI,1.0000,
4,N,Pass,Pass,0,6.18,6.18,0.0,5.66,0.0,5.95,0.0,5.7,0.0,5.63,0,No,SI,0.8914,1Dia
4,E,1Pic,2Tre,210,18.16,18.16,0.43,5.51,0.99,5.69,1.08,6.14,0.48,6.31,170,Si,NO,0.9100,1Dia - Pass
4,S,Pass,Pass,0,6.55,6.55,0.0,5.64,0.0,5.54,0.0,5.69,0.0,5.81,0,No,SI,0.8906,1Dia - Pass - 1Pic
4,W,2Cor,2Dia,230,11.83,11.83,0.48,3.57,2.43,5.65,0.74,5.26,0.0,4.59,250,Si,NO,0.9994,1Dia - Pass - 1Pic - Pass
4,N,Pass,2Pic,270,13.72,13.72,1.4,4.38,2.1,5.2,0.18,4.48,0.53,4.86,0,No,NO,0.9339,1Dia - Pass - 1Pic - Pass - 2Cor
4,E,2Pic,3Dia,330,15.41,15.41,2.02,5.12,0.0,3.58,2.67,5.72,0.39,4.49,270,Si,NO,0.9993,1Dia - Pass - 1Pic - Pass - 2Cor - Pass
